Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,
354,Kobe Bufkin,21,ATL,SG,10,0,12.4,1.8,4.7,.383,0.4,1.9,.211,1.4,2.8,.500,.426,1.3,1.8,.722,0.5,1.6,2.1,1.7,0.3,0.2,0.8,0.9,5.3,
355,Jonathan Mogbo,23,TOR,PF,39,7,16.9,2.1,4.4,.471,0.3,0.8,.400,1.7,3.6,.486,.506,0.9,1.3,.714,1.7,2.4,4.2,1.6,0.7,0.4,0.8,1.9,5.3,
356,Isaiah Wong,24,CHO,SG,18,0,12.6,1.8,4.9,.360,0.5,1.6,.310,1.3,3.3,.383,.410,1.3,1.8,.719,0.8,0.9,1.7,1.4,0.6,0.0,0.8,1.1,5.3,
357,Kevon Looney,28,GSW,C,45,6,16.4,2.2,4.3,.521,0.0,0.0,.000,2.2,4.2,.526,.521,0.7,1.4,.516,3.0,4.0,6.9,1.9,0.7,0.4,0.6,2.2,5.2,
358,Gary Payton II,32,GSW,SG,40,10,13.5,2.2,4.1,.540,0.3,1.3,.216,1.9,2.8,.688,.574,0.5,0.7,.724,0.9,2.1,3.0,1.3,0.7,0.3,0.7,1.7,5.2,
359,Neemias Queta,25,BOS,C,40,5,14.5,2.2,3.3,.659,0.0,0.1,.000,2.2,3.3,.669,.659,0.8,1.1,.727,1.4,2.3,3.7,0.7,0.3,0.7,0.6,1.8,5.2,
360,Luke Kornet,29,BOS,C,46,6,16.9,2.1,3.2,.646,0.0,0.0,,2.1,3.2,.646,.646,1.0,1.3,.754,2.3,2.7,4.9,1.6,0.5,0.9,0.4,1.5,5.1,
361,Donovan Clingan,20,POR,C,38,10,16.1,2.1,4.0,.523,0.2,0.6,.273,1.9,3.4,.565,.542,0.7,1.0,.658,2.7,3.8,6.4,0.7,0.4,1.5,1.2,2.6,5.0,
362,Monte Morris,29,PHO,PG,39,0,13.0,1.8,4.3,.416,0.6,1.8,.310,1.2,2.4,.495,.482,0.9,1.0,.850,0.3,1.2,1.4,1.7,0.4,0.1,0.4,0.5,5.0,
363,Ryan Rollins,22,MIL,PG,34,6,12.2,1.9,4.1,.460,0.6,1.7,.373,1.2,2.4,.525,.540,0.6,0.7,.826,0.4,1.2,1.6,1.2,0.7,0.4,0.9,1.4,5.0,
364,Alondes Williams,25,DET,SG,1,0,4.0,2.0,2.0,1.000,1.0,1.0,1.000,1.0,1.0,1.000,1.250,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,
365,Vince Williams Jr.,24,MEM,SG,4,0,14.5,2.3,6.0,.375,0.3,2.0,.125,2.0,4.0,.500,.396,0.3,1.3,.200,1.8,2.0,3.8,2.8,0.5,0.5,1.8,2.3,5.0,
366,Marvin Bagley III,25,WAS,C,19,1,8.7,2.0,3.7,.535,0.1,0.5,.200,1.9,3.2,.590,.549,0.8,1.2,.652,1.4,1.5,2.9,0.4,0.4,0.3,0.6,0.6,4.9,
367,Richaun Holmes,31,WAS,PF,14,2,13.9,1.9,3.3,.587,0.0,0.1,.000,1.9,3.1,.614,.587,1.0,1.3,.778,1.6,3.0,4.6,1.1,0.1,0.6,0.4,1.3,4.9,
368,Jordan Miller,25,LAC,SF,29,0,12.8,1.9,4.3,.429,0.3,1.2,.222,1.6,3.1,.511,.460,0.9,1.1,.788,0.8,1.0,1.8,1.1,0.5,0.2,0.8,0.7,4.9,
369,Tidjane Salaün,19,CHO,PF,36,8,18.5,1.7,5.1,.330,0.9,3.1,.292,0.8,1.9,.391,.420,0.7,1.0,.686,1.1,3.1,4.1,1.1,0.6,0.2,0.9,1.3,4.9,
370,Jaylen Clark,23,MIN,SG,10,0,11.6,1.6,3.4,.471,0.8,1.7,.471,0.8,1.7,.471,.588,0.8,1.0,.800,0.9,0.6,1.5,0.5,0.3,0.1,0.1,1.6,4.8,
371,Moussa Diabaté,23,CHO,C,42,5,19.0,2.0,3.3,.594,0.0,0.0,.000,2.0,3.2,.603,.594,0.8,1.4,.559,3.1,4.0,7.1,0.9,0.7,0.7,0.9,1.6,4.7,
372,Taylor Hendricks,21,UTA,PF,3,3,25.0,1.3,6.0,.222,1.0,4.0,.250,0.3,2.0,.167,.306,1.0,1.3,.750,1.7,3.3,5.0,0.7,1.7,1.3,0.7,2.7,4.7,
373,Sandro Mamukelashvili,25,SAS,PF,31,0,8.3,1.7,3.0,.565,0.7,1.7,.426,0.9,1.2,.763,.690,0.6,0.9,.704,0.6,1.8,2.4,0.5,0.2,0.3,0.4,0.6,4.7,
374,Trevelin Queen,27,ORL,SG,23,2,15.2,1.8,4.9,.366,0.7,2.6,.271,1.1,2.3,.472,.438,0.5,0.6,.846,0.9,0.9,1.7,1.4,1.0,0.3,0.9,1.6,4.7,
375,Oscar Tshiebwe,25,UTA,C,3,0,15.3,1.3,2.0,.667,0.0,0.0,,1.3,2.0,.667,.667,2.0,2.7,.750,1.7,5.0,6.7,0.0,1.3,0.0,0.3,3.3,4.7,
376,Mo Bamba,26,LAC,C,28,2,12.6,1.7,3.7,.466,0.5,1.8,.300,1.2,1.9,.623,.539,0.6,0.9,.680,0.9,3.4,4.3,0.6,0.3,1.0,0.7,1.8,4.6,
377,Charles Bassey,24,SAS,C,32,1,10.8,2.0,3.4,.573,0.0,0.0,,2.0,3.4,.573,.573,0.7,1.0,.636,1.7,2.8,4.6,0.4,0.4,0.9,0.7,1.4,4.6,
378,Zach Collins,27,SAS,C,36,4,11.8,1.7,3.7,.462,0.4,1.3,.304,1.3,2.4,.547,.515,0.9,1.0,.886,1.1,1.8,2.8,1.4,0.4,0.4,0.6,1.9,4.6,
379,Malaki Branham,21,SAS,SG,30,0,9.6,1.6,3.8,.434,0.7,1.8,.396,0.9,2.0,.467,.527,0.6,0.7,.850,0.1,1.0,1.1,0.9,0.2,0.1,0.9,0.5,4.5,
380,Trentyn Flowers,19,LAC,SF,2,0,8.0,2.0,4.5,.444,0.0,1.0,.000,2.0,3.5,.571,.444,0.5,0.5,1.000,0.5,1.5,2.0,0.0,0.0,0.0,0.5,1.5,4.5,
381,Kylor Kelley,27,DAL,C,4,1,13.5,1.8,2.3,.778,0.0,0.0,,1.8,2.3,.778,.778,1.0,1.5,.667,1.8,2.8,4.5,0.3,0.0,0.5,0.3,1.5,4.5,
382,Dariq Whitehead,20,BRK,SF,8,0,7.0,1.5,3.1,.480,1.4,2.6,.524,0.1,0.5,.250,.700,0.1,0.4,.333,0.1,0.5,0.6,0.1,0.4,0.1,0.4,0.3,4.5,
383,David Roddy,23,ATL,PF,27,3,12.8,1.6,3.4,.473,0.6,1.6,.372,1.0,1.9,.560,.559,0.7,0.8,.818,0.4,2.2,2.6,1.1,0.4,0.3,0.7,0.7,4.5,
384,Pat Connaughton,32,MIL,SG,29,0,15.3,1.7,3.9,.425,0.7,2.1,.323,1.0,1.8,.549,.513,0.4,0.6,.765,0.6,2.2,2.8,1.7,0.1,0.3,0.6,1.1,4.4,
385,Jett Howard,21,ORL,SF,44,0,10.9,1.6,4.2,.375,1.0,3.0,.323,0.6,1.2,.500,.489,0.3,0.4,.833,0.4,0.8,1.2,0.6,0.2,0.2,0.5,1.0,4.4,
386,Reggie Jackson,34,PHI,PG,31,1,12.4,1.7,4.3,.391,0.8,2.4,.338,0.9,1.9,.458,.485,0.2,0.3,.778,0.3,1.1,1.4,1.5,0.5,0.1,0.5,1.1,4.4,
387,Tre Jones,25,SAS,PG,28,0,16.1,1.6,3.3,.484,0.3,0.9,.308,1.3,2.4,.552,.527,0.9,1.2,.758,0.5,1.5,2.1,3.7,0.6,0.2,0.8,1.2,4.4,
388,Julian Phillips,21,CHI,SF,50,3,13.0,1.5,3.4,.442,0.6,1.8,.319,0.9,1.6,.580,.526,0.6,0.9,.727,0.9,1.1,2.0,0.4,0.4,0.2,0.4,1.3,4.3,
389,Paul Reed,25,DET,C,29,0,9.9,1.7,3.2,.533,0.2,0.6,.333,1.5,2.6,.581,.565,0.7,0.9,.840,0.9,1.6,2.5,1.0,1.1,0.6,0.5,1.7,4.3,
390,Antonio Reeves,24,NOP,SG,20,0,9.3,1.7,4.0,.413,0.7,2.1,.310,1.0,1.9,.526,.494,0.4,0.4,.875,0.3,0.6,0.9,0.7,0.3,0.0,0.3,0.4,4.3,
391,Daniel Theis,32,NOP,C,38,9,16.3,1.6,3.4,.473,0.2,1.0,.243,1.4,2.4,.565,.508,0.8,1.0,.838,1.2,3.2,4.3,1.6,0.5,0.5,0.7,1.8,4.3,
392,Aaron Holiday,28,HOU,PG,36,1,11.4,1.4,3.4,.419,0.9,2.3,.373,0.6,1.1,.512,.544,0.5,0.5,.895,0.2,0.8,0.9,1.2,0.4,0.1,0.5,1.1,4.2,
393,Kyle Lowry,38,PHI,PG,32,12,19.3,1.2,3.5,.351,0.9,2.6,.337,0.3,0.9,.393,.477,0.8,1.0,.818,0.3,1.7,2.0,2.9,1.0,0.3,0.6,1.9,4.2,
394,Patty Mills,36,2TM,PG,18,0,14.8,1.4,4.4,.329,0.9,3.3,.283,0.5,1.1,.474,.437,0.3,0.3,1.000,0.2,1.0,1.2,1.2,0.7,0.2,0.9,0.7,4.1,
395,Patty Mills,36,UTA,PG,17,0,15.3,1.5,4.5,.342,1.0,3.4,.298,0.5,1.1,.474,.454,0.3,0.3,1.000,0.2,1.1,1.2,1.2,0.7,0.2,0.9,0.7,4.4,
396,Patty Mills,36,LAC,PG,1,0,7.0,0.0,3.0,.000,0.0,3.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,
397,Jeff Green,38,HOU,PF,14,2,10.4,1.5,2.8,.538,0.6,1.7,.333,0.9,1.1,.867,.641,0.5,0.6,.778,0.1,1.1,1.3,0.2,0.2,0.1,0.3,1.0,4.1,
398,Kris Murray,24,POR,SF,43,0,13.5,1.6,3.6,.452,0.4,1.4,.258,1.3,2.2,.581,.503,0.3,0.7,.438,1.0,1.1,2.1,0.9,0.4,0.2,0.5,0.9,4.0,
399,Josh Richardson,31,MIA,SG,8,0,18.8,1.4,4.8,.289,0.8,2.8,.273,0.6,2.0,.313,.368,0.5,0.5,1.000,0.8,0.8,1.5,1.5,1.0,0.1,1.0,2.1,4.0,
400,Gui Santos,22,GSW,PF,26,1,12.5,1.4,2.9,.480,0.8,1.8,.417,0.6,1.0,.593,.613,0.5,0.7,.632,1.0,1.5,2.6,1.2,0.3,0.1,0.6,1.4,4.0,
401,Cam Spencer,24,MEM,SG,10,0,12.1,1.3,3.0,.433,0.5,1.6,.313,0.8,1.4,.571,.517,0.9,0.9,1.000,0.5,1.2,1.7,1.6,0.3,0.1,0.5,1.1,4.0,
